round,winner,winner_score,loser_score
First Four,Prairie View,67,55
First Four,Miami OH,89,79
First Four,Howard,86,83
First Four,Texas,68,66
R64,Duke,71,65
R64,TCU,66,64
R64,St John's,77,53
R64,Kansas,68,60
R64,Louisville,83,79
R64,Michigan St,92,67
R64,UCLA,75,71
R64,Connecticut,82,71
R64,Florida,114,55
R64,Iowa,67,61
R64,Vanderbilt,78,68
R64,Nebraska,76,47
R64,VCU,82,78
R64,Illinois,105,70
R64,Texas A&M,63,50
R64,Houston,78,47
R64,Arizona,92,58
R64,Utah St,86,76
R64,High Point,83,82
R64,Arkansas,97,78
R64,Texas,79,71
R64,Gonzaga,73,64
R64,Miami FL,80,66
R64,Purdue,104,69
R64,Michigan,101,80
R64,St Louis,102,77
R64,Texas Tech,91,71
R64,Alabama,87,69
R64,Virginia,82,73
R64,Tennessee,78,56
R64,Kentucky,89,84
R64,Iowa St,108,74
R32,Duke,81,58
R32,St John's,67,65
R32,Michigan St,77,69
R32,Connecticut,73,57
R32,Iowa,73,72
R32,Nebraska,74,72
R32,Illinois,76,55
R32,Houston,88,57
R32,Arizona,78,66
R32,Arkansas,94,88
R32,Texas,74,68
R32,Purdue,79,69
R32,Michigan,95,72
R32,Iowa St,82,63
R32,Tennessee,79,72
R32,Alabama,90,65
Sweet 16,Duke,80,75
Sweet 16,Connecticut,67,63
Sweet 16,Iowa,76,71
Sweet 16,Illinois,65,55
Sweet 16,Arizona,109,88
Sweet 16,Purdue,79,77
Sweet 16,Michigan,90,77
Sweet 16,Tennessee,76,62
Elite 8,Connecticut,73,72
Elite 8,Illinois,71,59
Elite 8,Arizona,79,64
Elite 8,Michigan,95,62
Final Four,Connecticut,71,62
Final Four,Michigan,91,73
Championship,Michigan,69,63
